county,year,month,wildfire_acres
Calaveras,2004.0,6.0,0.9584058098268115
Calaveras,2004.0,7.0,62.759249999999966
Calaveras,2004.0,8.0,4901.599229999992
Calaveras,2004.0,9.0,2675.965699999994
Calaveras,2004.0,10.0,0.6585746610320208
Calaveras,2005.0,6.0,119.57871000000006
Calaveras,2005.0,9.0,12.13924
Calaveras,2005.0,11.0,146.24310000000014
Calaveras,2006.0,6.0,193.53230000000022
Calaveras,2006.0,7.0,150.3358
Calaveras,2006.0,8.0,53.16089999999998
Calaveras,2006.0,9.0,208.2120038460985
Calaveras,2006.0,11.0,51.52576999999997
Calaveras,2007.0,5.0,102.86719999999995
Calaveras,2007.0,6.0,0.24279662423018053
Calaveras,2007.0,7.0,228.9825999999998
Calaveras,2007.0,8.0,203.26328000000007
Calaveras,2008.0,3.0,36.33650999999999
Calaveras,2008.0,7.0,177.41278000000005
Calaveras,2008.0,9.0,20.483809999999984
Calaveras,2009.0,6.0,409.00490000000076
Calaveras,2009.0,9.0,161.67850000000024
Calaveras,2011.0,7.0,168.41654
Calaveras,2011.0,9.0,56.78341000000007
Calaveras,2011.0,12.0,742.21096
Calaveras,2012.0,6.0,95.56466000000005
Calaveras,2012.0,7.0,204.62465999999992
Calaveras,2012.0,8.0,1131.2946732873882
Calaveras,2013.0,6.0,11.354030000000002
Calaveras,2013.0,8.0,46.330699999999936
Calaveras,2015.0,9.0,67274.37036716825
Calaveras,2016.0,6.0,179.21623999999994
Calaveras,2016.0,7.0,716.7399899999989
Calaveras,2016.0,8.0,447.9558999999993
Calaveras,2017.0,7.0,220.48982999999998
Calaveras,2017.0,10.0,148.19737000000003
Calaveras,2018.0,6.0,5657.4568430469835
Calaveras,2018.0,7.0,4.4016769999999985
Calaveras,2018.0,8.0,428.29949999999945
Calaveras,2018.0,9.0,14.587199999999998
Calaveras,2018.0,10.0,9.709066000000002
Calaveras,2019.0,6.0,1.3996439999999999
Calaveras,2019.0,9.0,66.70489000000002
Colusa,2001.0,8.0,7324.78049872278
Colusa,2002.0,5.0,110.37320000000003
Colusa,2003.0,9.0,463.8216494315708
Colusa,2005.0,10.0,0.6318901528341324
Colusa,2006.0,7.0,274.1234
Colusa,2008.0,4.0,27.154280000000007
Colusa,2008.0,6.0,6361.397673715325
Colusa,2009.0,6.0,262.17341019820185
Colusa,2009.0,8.0,282.38524654943546
Colusa,2009.0,9.0,18.379581067570918
Colusa,2012.0,7.0,33612.38490734393
